Catalog Number,Title,Composer,Count,Bible Verse Reference,General Liturgical Season,Narrative Lectionary Weeks,Themes / Topics,Parts,Last Performed,Recording Link
778,"My Jesus, I Love Thee",Molly Ijames,25,1 John 4:19; John 21:15,General,,Devotion,,2021-10-10,
779,Since Jesus Came Heart,Shackley,25,2 Cor 5:17,General,,Transformation,,2021-10-17,
780,Joyfully Sing,Berry,25,Psalm 95:1,Thanksgiving,,Rejoicing,,,
781,The Coming of the Lord,Chopin,25,Matthew 24:30,Advent,,Advent,,2024-12-08,
782,A Child is Born,Johnson,25,Isaiah 9:6,Christmas,NL411,Prophecy,,,
783,A Carol For Epiphany,Schalk,25,Matthew 2:1–12,Epiphany,NL120,Magi,,2018-01-07,
784,Celebrate the Child,Card/Rouse,25,Luke 2:11,General,NL117 | NL217 | NL317 | NL417,Rejoicing,,2018-01-14,
785,Lift Up A Song,Shackley,25,Psalm 96:1,General,,Proclamation,,2025-03-02,
786,Christ Arose,Lloyd Larson,25,Matthew 28:6,Easter,NL139,Resurrection,,2018-04-01,
787,And The Father Will Dance,Mark Hayes,25,Zephaniah 3:17,General,,Rejoicing,,,
788,Advent Alleluia,Althouse,25,Rev 19:1; Isaiah 7:14,Advent,,Hallelujah,,,
789,For the Bread Broken,Helvey,25,1 Cor 10:16–17,Communion,,Eucharist,,2023-03-05,
790,All My Trials,John Leavitt,25,Matthew 11:28,General,,Rest,,,
791,"All Glory, Laud and Honor",Larson,25,Matthew 21:1–11,Palm Sunday,NL136,Palm Sunday,,,
792,African Advent Carol,Barrett,25,Isaiah 9:2,Advent,NL411,Hope,,,
793,An Advent Awakening,Courtney,25,Romans 13:11–12,Advent,,Vigilance,,,
794,Follow The Star,Michael Sharp,25,Matthew 2:1–2,Christmas,NL120,Guidance,,2025-01-11,
795,My Heart Thankfulness,Getty,25,Colossians 3:15–17,General,,Gratitude,,,
796-B,Gather By River to Pray,Choplin,30,Revelation 22:1,General,,Restoration,,,
797-B,Love the Lord,Courtney,30,Mark 12:30,General,NL234,Commandment,,,
798,Didn't Lord Deliver Daniel,Drennan,30,Daniel 6:1–23,General,NL313,Deliverance,,,
798-B,Song of Thanksgiving,Pote,30,Psalm 100,Thanksgiving,,Gratitude,,,
799,Abba,Courtney,28,Galatians 4:6,Lent,NL346,Intimacy,,2024-03-09,
799-B,Unto God,Raney,28,Psalm 103,General,,Honor,,,
800,Holy Spirit Come,Larson,28,Acts 2:1–4,General,NL146 | NL246 | NL346 | NL446,Holy Spirit,,2024-03-16,
800-B,Heavenly Peace,Raney,28,Isaiah 9:6,Christmas,NL411,Peace,,,
801,At The Foot of The Cross,Dengler,28,John 19:25,Lent,NL437,Passion,,2024-04-06,
802,Hosanna Hosanna,Martin,28,Matthew 21:9,Palm Sunday,NL136,Triumphal Entry,,,
803,Ah Holy Jesus,Courtney,28,Isaiah 53:4–5,Lent,,Suffering Servant,,,
804,Because He Lives,Gaither,28,John 14:19,General,,Resurrection,,,
805,"Christ Is Risen, Alive",Larson,28,Luke 24:34,Easter,NL339,Resurrection,,,
